Date,Open,High,Low,Close,Volume,Symbol
2020-09-24,8.4,8.48,8.25,8.33,5599785,ACB
2020-09-25,8.33,8.4,8.22,8.33,6416344,ACB
2020-09-28,8.33,8.55,8.33,8.48,8207740,ACB
2020-09-29,8.52,8.55,8.37,8.4,5923046,ACB
2020-09-30,8.4,8.44,8.33,8.44,3624221,ACB
2020-10-01,8.37,8.55,8.33,8.44,6510267,ACB
2020-10-02,8.4,8.82,8.4,8.63,23518516,ACB
2020-10-05,8.63,8.85,8.59,8.85,12875000,ACB
2020-10-06,8.85,9.08,8.85,9.0,10965000,ACB
2020-10-07,9.0,9.04,8.74,8.78,17681800,ACB
2020-10-08,8.7,8.89,8.63,8.7,13890500,ACB
2020-10-09,8.7,8.93,8.67,8.82,8717300,ACB
2020-10-12,8.89,8.93,8.74,8.74,8642000,ACB
2020-10-13,8.78,8.78,8.67,8.78,5319900,ACB
2020-10-14,8.82,9.04,8.78,9.0,20284500,ACB
2020-10-15,9.0,9.3,8.97,9.19,16334800,ACB
2020-10-16,9.19,9.38,9.08,9.27,8711000,ACB
2020-10-19,9.38,9.64,9.34,9.49,14148600,ACB
2020-10-20,9.53,9.6,9.38,9.49,11356300,ACB
2020-10-21,9.53,9.6,9.45,9.45,8864800,ACB
2020-10-22,9.49,9.75,9.38,9.6,9439500,ACB
2020-10-23,9.68,9.72,9.57,9.6,8023000,ACB
2020-10-26,9.6,9.68,9.3,9.3,11660700,ACB
2020-10-27,9.27,9.34,9.15,9.15,11720500,ACB
2020-10-28,9.15,9.19,8.89,8.93,14911600,ACB
2020-10-29,8.85,9.12,8.7,8.97,8510000,ACB
2020-10-30,9.04,9.12,8.93,9.04,4392700,ACB
2020-11-02,9.08,9.19,9.0,9.19,3775100,ACB
2020-11-03,9.19,9.45,9.19,9.38,7704400,ACB
2020-11-04,9.42,9.64,9.42,9.57,12599900,ACB
2020-11-05,9.57,9.64,9.34,9.34,8546200,ACB
2020-11-06,9.34,9.42,9.3,9.42,3669400,ACB
2020-11-09,9.42,9.57,9.42,9.53,5897700,ACB
2020-11-10,9.64,9.75,9.49,9.49,8852600,ACB
2020-11-11,9.49,9.57,9.45,9.53,4525100,ACB
2020-11-12,9.53,9.9,9.53,9.9,18943100,ACB
2020-11-13,9.9,10.02,9.87,9.94,6222800,ACB
2020-11-16,9.94,10.06,9.83,9.83,8979100,ACB
2020-11-17,9.83,10.21,9.83,10.21,16771100,ACB
2020-11-18,10.21,10.39,10.09,10.21,7919600,ACB
2020-11-19,10.24,10.32,10.13,10.21,6411600,ACB
2020-11-20,10.24,10.28,10.06,10.24,9590800,ACB
2020-11-23,10.32,10.36,10.13,10.24,10891200,ACB
2020-11-24,10.24,10.43,10.17,10.24,10353900,ACB
2020-11-25,10.24,10.36,10.17,10.24,6484600,ACB
2020-11-26,10.24,10.39,10.13,10.28,10030200,ACB
2020-11-27,10.32,10.36,10.21,10.21,5460400,ACB
2020-11-30,10.28,10.28,10.13,10.21,8939000,ACB
2020-12-01,10.21,10.24,10.06,10.24,9242900,ACB
2020-12-09,10.54,10.86,10.43,10.71,24200930,ACB
2020-12-10,10.81,10.81,10.47,10.49,9233750,ACB
2020-12-11,10.54,10.6,10.43,10.58,4459820,ACB
2020-12-14,10.62,10.69,10.54,10.58,7325960,ACB
2020-12-15,10.58,10.6,10.47,10.51,7305490,ACB
2020-12-16,10.52,10.67,10.51,10.6,10461450,ACB
2020-12-17,10.54,10.82,10.52,10.62,13567290,ACB
2020-12-18,10.67,10.75,10.62,10.66,11693630,ACB
2020-12-21,10.69,10.99,10.64,10.86,22481640,ACB
2020-12-22,10.86,10.88,10.73,10.79,7573290,ACB
2020-12-23,10.81,10.82,10.51,10.54,11216860,ACB
2020-12-24,10.54,10.62,9.94,10.24,15831250,ACB
